Frame;leftX;leftY;rightX;rightY
1;424;370;605;360
2;427;370;605;360
3;433;370;612;358
4;444;367;618;355
5;447;365;626;351
6;460;363;631;346
7;456;362;628;346
8;460;362;632;346
9;459;363;628;347
10;457;364;628;349
11;452;365;624;351
12;449;365;622;352
13;447;366;621;353
14;446;367;619;354
15;444;368;618;356
16;437;369;616;357
17;440;369;616;358
18;437;370;616;359
19;437;370;617;359
20;443;370;618;359
21;440;370;618;358
22;440;370;619;358
23;440;370;620;357
24;440;369;619;357
25;440;369;619;357
26;441;369;619;357
27;439;369;620;357
28;440;369;620;357
29;442;369;620;358
30;441;370;620;358
31;442;370;619;358
32;440;370;618;358
33;437;370;617;359
34;437;370;617;359
35;437;371;617;360
36;436;371;614;361
37;434;371;612;360
38;432;370;611;357
39;429;370;607;358
40;427;370;605;358
41;424;370;603;359
42;423;370;602;359
43;422;370;602;359
44;421;370;601;360
45;419;370;600;360
46;415;370;596;360
47;411;370;592;361
48;407;369;587;361
49;401;368;582;361
50;392;368;576;361
51;375;364;561;362
52;367;362;551;362
53;359;361;543;362
54;351;360;536;362
55;343;359;529;362
56;331;360;519;363
57;327;360;514;363
58;323;359;510;363
59;319;359;507;363
60;314;358;503;363
61;305;358;494;363
62;301;358;490;363
63;297;358;487;364
64;294;359;482;365
65;293;359;482;365
66;292;360;482;366
67;294;360;485;366
68;295;360;486;366
69;298;361;489;365
70;301;361;492;365
71;304;361;497;364
72;306;361;498;364
73;308;361;500;363
74;309;361;500;363
75;310;361;502;361
76;311;361;504;363
77;312;361;505;363
78;312;361;505;362
79;312;360;504;362
80;311;360;503;361
81;311;359;503;362
82;312;360;504;361
83;312;360;505;361
84;313;360;506;361
85;314;361;506;361
86;315;361;507;360
87;316;361;509;360
88;317;361;509;360
89;317;361;509;359
90;318;361;510;359
91;319;362;511;360
92;319;362;512;360
93;320;362;513;359
94;321;361;514;360
95;321;362;514;360
96;323;362;516;360
97;324;362;516;360
98;325;363;517;360
99;325;363;517;360
100;326;363;518;360
101;325;363;518;360
102;326;363;518;360
103;326;363;518;360
104;326;363;518;360
105;326;363;518;360
106;326;363;518;360
107;326;363;518;359
108;326;363;518;359
109;326;363;519;360
110;326;363;519;360
111;326;364;519;360
112;326;364;519;360
113;326;364;519;360
114;325;363;519;361
115;325;363;518;361
116;323;363;516;361
117;321;362;514;361
118;319;362;511;361
119;316;362;509;361
120;314;361;506;361
121;309;359;501;361
122;306;359;499;361
123;305;358;497;361
124;303;358;495;361
125;302;358;493;361
126;299;357;491;361
127;297;357;489;360
128;296;357;487;361
129;294;356;485;360
130;293;357;483;360
131;293;357;481;360
132;293;356;482;360
133;293;356;483;359
134;294;356;483;359
135;294;355;484;358
