Frame;leftX;leftY;rightX;rightY
516;391;368;572;358
517;395;368;575;358
518;398;368;577;357
519;402;367;580;355
520;403;366;581;354
521;404;366;583;354
522;405;366;584;354
523;407;366;584;353
524;408;365;586;353
525;405;362;583;351
526;402;360;579;350
527;399;359;578;351
528;398;359;581;351
529;402;361;585;352
530;404;361;585;351
531;405;361;587;351
532;406;360;585;350
533;407;359;587;349
534;413;360;587;349
535;418;361;595;350
557;420;368;592;356
558;422;370;597;357
559;426;372;598;359
560;427;373;599;360
561;427;373;601;360
562;428;373;601;361
563;429;374;602;361
564;429;374;602;361
565;428;374;601;360
566;426;374;601;360
567;425;374;600;359
568;425;374;601;359
569;425;373;600;359
570;425;373;601;359
571;426;373;601;359
572;426;373;601;359
573;426;373;601;359
574;426;372;601;358
575;428;372;601;358
576;428;372;601;358
577;428;372;601;358
578;428;372;601;358
579;428;371;601;357
580;429;371;601;357
581;429;371;602;356
582;430;371;602;356
583;430;370;603;356
584;430;370;603;356
585;429;370;603;356
586;428;370;602;356
587;428;370;601;356
588;428;370;601;356
589;426;370;599;356
590;425;370;598;356
591;424;370;597;356
592;424;369;597;356
593;423;370;596;356
594;424;369;597;356
595;424;369;597;356
596;425;369;598;355
597;427;369;599;355
598;428;369;600;355
599;432;369;604;354
600;434;369;606;354
601;436;369;608;354
602;438;369;609;353
603;439;369;610;352
604;441;367;612;351
605;443;367;614;351
606;445;366;616;351
607;449;366;619;350
