Frame;leftX;leftY;Area
1;375;322;188
2;368;317;144
3;368;317;196
4;368;317;175
5;368;317;173
6;368;317;174
7;368;317;176
8;368;317;171
9;368;317;163
10;368;317;163
11;368;317;151
12;368;317;151
13;368;317;160
14;368;317;160
15;368;317;0
16;368;317;0
17;368;317;0
18;368;317;0
19;372;311;190
20;368;320;188
21;369;320;194
22;367;319;138
23;363;318;143
24;374;318;178
25;375;319;139
26;374;318;141
27;375;318;173
28;377;319;162
29;378;320;163
30;379;320;159
31;382;321;162
32;383;320;159
33;383;320;163
34;382;310;181
35;381;319;168
36;382;310;186
37;380;340;182
38;379;319;170
39;378;319;173
40;378;319;173
41;378;310;140
42;375;319;174
43;376;311;142
44;376;319;176
45;376;311;141
46;376;311;188
47;376;311;185
48;366;320;140
49;378;320;172
50;377;312;137
51;378;319;170
52;378;319;0
53;378;319;0
54;378;319;0
55;378;319;0
56;375;305;174
57;376;324;188
58;361;324;196
59;371;325;197
60;370;327;232
61;365;324;195
62;354;324;137
63;363;324;199
64;361;324;195
65;349;323;135
66;357;315;138
67;357;324;173
68;358;325;173
69;359;324;170
70;361;324;170
71;367;324;175
72;369;324;174
73;370;324;174
74;372;324;174
75;374;324;177
76;378;324;174
77;372;324;181
78;380;314;172
79;378;323;179
80;376;323;183
81;371;323;181
82;370;337;232
83;368;322;194
84;355;328;241
85;361;308;247
86;364;316;194
87;365;316;192
88;355;316;198
89;367;316;190
90;368;316;193
91;370;315;187
92;371;315;184
93;372;314;185
94;372;314;185
95;372;314;185
96;372;314;184
97;371;314;183
98;372;314;182
99;372;318;230
100;372;318;113
101;372;318;0
102;372;318;0
103;372;318;0
104;372;318;0
105;372;318;104
106;370;321;181
107;368;324;238
108;367;320;204
109;357;319;200
110;368;319;210
111;369;317;157
112;358;316;159
113;369;317;156
114;370;317;198
115;369;316;194
116;369;316;193
117;368;316;189
118;357;316;144
119;367;316;187
120;366;316;177
121;366;316;144
122;367;307;196
123;366;316;152
124;356;317;143
125;367;317;157
126;367;317;157
127;357;318;149
128;357;318;148
129;357;318;148
130;368;318;196
131;368;318;152
132;369;318;194
133;369;318;149
134;367;318;153
135;367;318;151
136;366;309;149
137;366;309;0
138;366;309;0
139;366;309;0
140;366;309;0
141;388;317;117
142;371;318;200
143;374;322;238
144;373;324;236
145;362;318;145
146;362;318;150
147;373;319;157
148;363;318;149
149;374;318;150
150;376;318;201
151;374;318;156
152;374;310;196
153;363;319;143
154;374;319;193
155;374;319;190
156;374;319;189
157;374;319;190
158;374;319;190
159;374;319;190
160;374;319;150
161;363;319;189
162;363;319;0
163;363;319;0
164;363;319;45
165;374;317;162
166;375;320;202
167;373;323;235
168;373;319;149
169;373;319;153
170;362;320;149
171;361;319;148
172;361;319;141
173;371;319;185
174;370;319;175
175;359;319;140
176;369;319;170
177;369;311;135
178;368;311;135
179;368;319;163
180;368;320;163
181;368;320;165
182;368;320;165
183;368;320;167
184;358;320;122
185;358;320;132
186;369;320;167
187;359;321;130
188;370;322;174
189;370;312;129
190;370;312;134
191;370;312;133
192;370;312;134
193;370;320;167
194;370;312;134
195;370;320;168
196;369;321;167
197;369;322;168
198;368;321;165
199;368;321;169
200;368;321;171
201;369;321;174
202;369;321;176
203;369;321;175
204;368;321;177
205;367;321;176
206;366;322;179
207;365;321;183
208;364;321;180
209;364;312;141
210;353;312;151
211;353;322;143
212;363;322;182
213;353;322;188
214;353;322;0
215;353;322;0
216;353;322;0
217;353;322;84
218;364;321;155
219;365;322;184
220;365;313;191
221;366;334;221
222;367;322;191
223;366;322;173
224;357;322;172
225;366;322;174
226;369;322;176
227;371;322;171
228;361;322;132
229;372;321;137
230;373;321;138
231;374;321;135
232;374;321;161
233;374;321;159
234;374;321;161
235;373;321;161
236;373;321;160
237;371;321;162
238;371;322;127
239;370;321;161
240;370;321;125
241;369;321;130
242;370;321;163
243;371;321;166
244;370;321;170
245;370;321;171
246;372;321;170
247;372;321;138
248;372;321;138
249;372;320;167
250;372;320;173
251;372;320;173
252;372;320;172
253;372;321;177
254;372;321;0
255;372;321;0
256;372;321;0
257;372;321;0
258;372;321;115
259;375;320;158
260;375;322;182
261;374;324;217
262;371;321;180
263;373;321;188
264;373;321;167
265;374;321;169
266;374;321;137
267;374;321;137
268;376;322;137
269;376;320;167
270;377;320;169
271;367;320;133
272;379;320;164
273;379;315;179
274;378;315;185
275;369;316;182
276;369;316;180
277;379;316;174
278;378;317;171
279;378;316;169
280;378;316;173
281;378;316;178
282;378;316;178
283;367;319;185
284;367;319;190
285;378;317;180
286;378;316;176
287;378;316;177
288;380;317;183
289;379;317;172
290;379;307;220
291;379;307;216
292;379;307;148
293;379;307;0
294;379;307;0
295;379;307;0
296;379;307;0
297;379;305;0
298;379;329;226
299;378;322;199
300;378;322;199
301;378;334;226
302;378;322;202
303;377;322;206
304;377;336;227
305;377;326;225
306;372;322;147
307;376;322;177
308;374;322;143
309;374;322;166
310;374;322;170
311;364;322;136
312;373;322;170
313;372;323;136
314;371;322;141
315;371;322;140
316;371;322;181
317;370;322;144
318;371;322;180
319;370;322;148
320;370;322;183
321;369;304;195
322;369;322;153
323;358;323;142
324;368;323;181
325;357;324;141
326;367;323;182
327;367;323;141
328;356;315;146
329;366;323;176
330;365;315;143
331;365;324;176
332;364;317;173
333;363;315;142
334;362;324;176
335;351;324;141
336;361;325;176
337;361;324;183
338;360;324;184
339;361;324;181
340;362;324;191
341;361;324;181
342;362;324;185
343;362;324;184
344;363;324;190
345;363;324;186
346;365;315;150
347;364;324;185
348;364;324;186
349;364;324;184
350;365;314;206
351;364;315;157
352;365;326;194
353;353;325;149
354;363;325;192
355;364;325;192
356;363;307;213
357;363;307;0
358;363;307;0
359;363;307;0
360;363;307;0
361;363;307;0
362;363;307;0
363;363;307;108
364;367;320;99
365;371;326;170
366;371;325;189
367;369;328;197
368;369;329;210
369;350;329;242
370;369;327;214
371;367;326;213
372;369;328;240
373;368;335;225
374;368;316;137
375;368;325;227
376;364;336;215
377;359;325;141
378;363;317;138
379;368;324;171
380;359;324;136
381;371;324;172
382;371;324;169
383;370;324;168
384;369;324;170
385;369;324;170
386;369;324;170
387;369;324;170
388;369;324;171
389;369;324;169
390;369;324;166
391;369;324;165
392;369;324;167
393;369;324;166
394;370;325;168
395;370;324;168
396;370;324;170
397;370;324;170
398;370;324;134
399;370;324;168
400;370;324;171
401;369;324;171
402;369;324;173
403;369;324;139
404;369;324;174
405;369;325;177
406;358;325;143
407;368;325;177
408;368;325;177
409;368;325;177
410;369;316;138
411;369;324;179
412;371;335;226
413;371;324;181
414;371;324;182
415;371;324;180
416;371;324;183
417;371;324;139
418;370;324;145
419;370;324;145
420;371;324;145
421;370;324;140
422;370;324;145
423;370;324;178
424;370;325;178
425;370;325;177
426;370;325;176
427;370;325;175
428;368;325;171
429;368;316;140
430;369;316;137
431;369;324;169
432;369;325;134
433;370;327;168
434;371;328;173
435;370;327;165
436;371;326;168
437;374;326;171
438;374;325;172
439;379;325;175
440;381;325;178
441;382;327;177
442;382;326;176
443;370;326;176
444;377;335;237
445;373;340;243
446;369;326;186
447;365;325;187
448;351;325;136
449;358;324;185
450;357;337;232
451;356;316;150
452;354;326;188
453;356;327;193
454;357;324;194
455;359;323;193
456;360;322;198
457;362;322;197
458;364;323;201
459;367;325;204
460;368;325;202
461;370;324;201
462;370;324;210
463;370;324;0
464;370;324;0
465;370;324;0
466;370;324;0
467;363;320;158
468;363;324;225
469;359;332;266
470;357;323;236
471;356;327;270
472;357;324;272
473;355;326;278
474;355;327;224
475;356;327;222
476;359;325;226
477;359;326;227
478;361;326;220
479;365;332;270
480;366;323;226
481;366;323;219
482;368;325;226
483;368;325;224
484;368;326;224
485;367;326;227
486;366;325;226
487;363;327;228
488;362;327;226
489;360;339;267
490;358;327;231
491;358;326;223
492;356;328;227
493;355;328;226
494;355;328;221
495;354;328;223
496;354;328;225
497;354;327;216
498;354;327;0
499;354;327;0
500;354;327;0
501;356;323;140
502;357;329;224
503;360;331;243
504;365;320;250
505;369;333;249
506;371;333;251
507;374;333;285
508;376;340;271
509;378;329;239
510;378;327;220
511;378;328;216
512;378;327;215
513;378;327;224
514;377;326;219
515;375;305;224
516;375;305;225
517;375;324;213
518;374;326;221
519;375;327;223
520;375;327;212
521;374;308;225
522;375;328;215
523;374;328;213
524;377;329;223
525;376;329;214
526;377;329;221
527;377;328;215
528;377;329;218
529;380;332;223
530;378;329;218
531;378;331;221
532;376;331;221
533;375;330;222
534;372;328;210
535;373;328;208
536;372;308;224
537;372;328;229
538;371;327;216
539;371;328;209
540;371;308;226
541;371;329;224
542;369;329;229
543;370;329;225
544;368;310;224
545;368;309;223
546;370;329;218
547;370;328;221
548;372;329;219
549;375;341;232
550;375;328;217
551;378;341;257
552;381;331;220
553;381;331;0
554;381;331;0
555;381;331;129
556;383;327;202
557;379;331;262
558;379;332;267
559;379;330;262
560;380;339;254
561;378;341;255
562;380;332;257
563;379;329;262
564;380;327;207
565;382;344;258
566;382;344;253
567;381;328;205
568;383;328;197
569;382;327;202
570;383;328;197
571;383;328;200
572;383;328;201
573;383;328;209
574;382;328;209
575;384;328;216
576;384;336;248
577;385;328;221
578;385;328;213
579;386;338;253
580;386;327;218
581;387;327;207
582;386;328;207
583;388;328;205
584;388;330;219
585;387;336;247
586;387;328;218
587;386;337;248
588;385;337;246
589;384;328;208
590;383;339;253
591;383;337;255
592;383;307;225
593;383;326;209
594;383;327;212
595;385;307;229
596;387;326;211
597;388;327;220
598;388;357;0
599;388;326;219
600;388;328;264
601;388;326;230
602;388;326;225
603;390;339;265
604;388;325;214
605;390;325;225
606;390;324;226
607;391;324;227
608;391;324;216
609;391;324;230
610;391;324;217
611;391;334;264
612;391;334;264
613;388;306;228
614;388;327;228
615;387;327;225
616;386;358;0
617;387;329;219
618;386;327;223
619;387;326;217
620;387;338;248
621;387;338;249
622;387;338;245
623;385;326;215
624;385;326;204
625;386;326;202
626;384;325;203
627;385;325;199
628;383;325;191
629;383;325;186
630;381;324;168
631;381;324;168
632;380;324;165
633;379;324;158
634;379;325;112
635;379;325;0
636;379;325;0
637;379;325;21
638;376;322;115
639;379;327;201
640;374;323;174
641;374;323;215
642;374;323;206
643;374;323;205
644;374;323;199
645;374;323;205
646;374;323;205
647;374;323;211
648;374;323;203
649;374;323;209
650;374;323;207
651;374;323;209
652;374;323;210
653;374;323;217
654;365;321;171
655;365;321;0
656;365;321;0
657;365;321;0
658;365;321;0
659;365;321;0
660;369;330;219
661;367;330;197
662;367;331;226
663;368;318;200
664;367;327;202
665;367;327;188
666;370;332;224
667;366;327;187
668;357;327;148
669;367;327;186
670;367;327;182
671;368;341;228
672;369;326;178
673;372;338;218
674;371;326;181
675;373;327;181
676;374;327;181
677;375;326;189
678;376;326;191
679;378;327;196
680;380;339;237
681;379;329;192
682;382;331;250
683;383;328;198
684;385;327;208
685;387;326;203
686;387;306;212
687;389;325;198
688;388;325;198
689;389;325;201
690;390;325;201
691;390;325;194
692;391;325;194
693;389;325;191
694;389;325;188
695;388;325;181
696;388;325;175
697;388;325;174
698;388;325;170
699;379;325;168
700;379;325;242
701;379;325;0
702;379;325;22
703;379;325;200
704;404;327;173
705;404;327;155
706;404;327;152
707;404;327;150
708;404;327;150
709;404;327;148
710;387;312;154
711;387;312;0
712;387;312;0
713;387;312;0
714;387;312;0
715;387;312;0
716;387;312;78
717;369;320;150
718;369;324;156
719;373;330;145
720;370;320;96
721;373;331;155
722;370;321;101
723;370;321;0
724;370;321;0
725;370;322;114
726;371;322;0
727;371;321;0
728;372;322;0
729;373;321;0
730;373;321;0
731;373;321;130
732;373;321;0
733;373;321;141
734;373;321;142
735;373;321;143
736;373;321;141
737;373;321;143
738;373;321;140
739;373;321;140
740;373;321;136
741;373;321;0
742;373;322;144
743;373;322;141
744;373;322;0
745;373;322;0
746;374;320;0
747;374;320;0
748;374;320;117
749;374;320;118
750;373;321;0
751;373;321;0
752;373;321;0
753;373;321;0
754;375;322;135
755;375;322;0
756;377;322;132
757;377;322;142
758;378;322;145
759;377;321;136
760;379;322;147
761;379;322;0
762;379;322;143
763;379;322;129
764;380;323;146
765;380;322;0
766;380;322;0
767;380;322;129
768;379;323;138
