Frame;leftX;leftY;rightX;rightY
1;426;371;609;360
2;428;371;607;360
3;432;369;613;359
4;438;367;614;359
5;449;366;626;346
6;460;363;625;341
7;454;363;627;346
8;459;363;628;341
9;449;364;625;347
10;452;363;625;346
11;446;365;618;350
12;444;366;620;352
13;446;366;619;352
14;447;366;612;354
15;444;369;610;356
16;436;370;609;357
17;437;370;609;357
18;435;371;616;359
19;437;371;612;359
20;437;371;611;359
21;441;371;611;368
22;441;372;615;358
23;444;371;615;358
24;440;373;616;357
25;440;373;616;357
26;441;371;617;357
27;442;370;617;357
28;443;370;616;357
29;436;371;618;358
30;441;370;617;358
31;440;370;614;368
32;438;370;614;358
33;436;371;615;359
34;436;371;614;360
35;437;371;614;360
36;438;372;611;364
37;432;372;607;364
38;429;369;609;372
39;428;371;607;372
40;426;371;604;372
41;423;371;602;373
42;423;374;601;372
43;422;374;600;373
44;420;374;601;372
45;416;375;600;374
46;415;375;596;374
47;412;374;592;371
48;403;369;585;363
49;398;368;577;364
50;394;367;566;363
51;372;363;553;364
52;369;362;551;363
53;358;360;513;363
54;352;360;537;361
55;345;360;493;361
56;342;355;484;363
57;329;360;481;364
58;327;360;473;362
59;324;360;468;364
60;319;360;504;364
61;300;360;492;363
62;297;359;488;364
63;298;358;483;365
64;284;360;482;365
65;282;360;478;366
66;294;362;482;366
67;295;362;485;367
68;298;362;489;367
69;298;361;487;367
70;301;364;492;366
71;305;363;497;366
72;307;364;496;366
73;309;368;497;367
74;309;363;498;366
75;312;361;498;367
76;313;363;503;364
77;316;363;504;364
78;309;360;504;363
79;309;364;503;363
80;309;360;503;360
81;310;360;503;360
82;311;360;505;361
83;312;364;506;362
84;312;364;507;358
85;313;364;508;366
86;317;363;504;366
87;318;363;505;370
88;320;363;509;365
89;312;364;510;365
90;321;362;511;356
91;322;363;507;356
92;316;363;508;366
93;322;364;508;367
94;320;365;514;356
95;319;365;510;356
96;322;368;511;356
97;323;365;513;356
98;324;364;513;356
99;328;364;513;356
100;329;364;514;356
101;324;364;515;357
102;324;364;515;369
103;324;364;517;369
104;324;364;517;369
105;324;364;517;369
106;328;364;518;371
107;328;364;518;371
108;324;365;519;371
109;321;364;519;368
110;322;365;518;371
111;323;366;518;357
112;323;366;518;371
113;323;366;519;372
114;323;365;518;357
115;322;365;517;357
116;318;363;515;357
117;320;363;514;357
118;314;363;511;357
119;319;364;506;362
120;315;363;505;362
121;310;361;498;362
122;306;361;496;362
123;305;360;494;361
124;305;359;493;361
125;301;359;491;356
126;297;358;488;356
127;295;358;487;361
128;294;357;484;361
129;295;357;482;361
130;292;357;481;361
131;292;357;480;363
132;293;357;481;361
133;292;356;482;360
134;292;357;483;359
135;292;357;484;359
136;295;357;485;359
137;298;357;486;361
138;299;357;488;361
139;294;357;489;361
140;304;356;488;360
141;298;357;494;360
142;298;357;495;360
143;315;357;495;360
144;314;358;495;360
145;313;358;496;361
146;300;358;493;361
147;300;358;497;361
148;300;358;497;361
149;300;357;497;361
150;302;357;498;361
151;305;358;496;361
152;306;358;496;361
153;310;359;497;360
154;308;358;499;360
155;309;358;501;360
156;312;358;503;359
157;314;358;505;359
158;315;359;507;360
159;315;359;510;360
160;317;359;514;360
161;323;359;519;359
162;329;359;520;359
163;335;361;522;360
164;345;362;536;357
165;345;361;534;357
166;353;363;545;357
167;359;363;548;360
168;361;361;548;357
169;369;361;552;358
170;371;361;552;357
171;355;361;553;359
172;356;361;550;361
173;368;362;551;361
174;368;362;551;361
175;369;363;552;362
176;370;363;552;362
177;374;365;554;362
178;374;365;554;362
179;374;365;555;362
180;375;365;556;361
181;376;365;561;361
182;376;365;562;361
183;377;365;563;361
184;379;366;559;361
185;379;366;560;360
186;380;366;562;360
187;383;366;569;359
188;385;366;567;358
189;387;366;572;359
190;388;366;570;359
191;390;366;572;358
192;393;365;574;359
193;393;365;576;357
194;396;365;573;358
195;391;365;573;357
196;388;365;575;358
197;389;365;571;357
198;386;365;571;357
199;387;365;570;358
200;387;364;570;358
201;388;364;571;358
202;389;363;571;357
203;389;363;571;357
204;389;364;571;356
205;391;364;572;356
206;393;364;572;356
207;390;364;571;357
208;390;364;570;356
209;389;364;568;356
210;387;364;567;356
211;386;365;567;357
212;385;365;567;357
213;387;366;566;358
214;388;365;568;360
215;389;365;569;357
216;390;364;572;356
217;392;365;575;356
218;394;365;578;356
219;395;364;578;356
220;395;364;578;355
221;396;364;579;355
222;396;364;579;355
223;396;364;579;355
224;397;364;580;355
225;399;364;579;356
226;398;364;577;355
227;399;364;579;355
228;399;364;579;355
229;398;364;579;355
230;399;364;582;354
231;399;364;581;354
232;399;364;582;354
233;399;364;581;354
234;399;364;581;354
235;399;364;580;356
236;399;364;580;355
237;399;364;581;354
238;398;364;578;355
239;398;365;578;355
240;397;365;577;355
241;397;365;577;355
242;397;365;576;356
243;395;365;577;356
244;398;365;577;356
245;399;366;578;357
246;400;368;579;356
247;401;366;581;354
248;401;367;581;355
249;402;365;582;354
250;401;364;581;357
251;402;365;581;357
252;402;365;581;356
253;402;365;581;357
254;402;368;581;356
255;402;365;582;356
256;402;368;582;356
257;400;365;583;356
258;400;365;582;357
259;401;366;583;356
260;402;366;584;357
261;402;366;585;357
262;405;367;588;356
263;405;367;589;357
264;407;366;588;355
265;409;364;588;354
266;408;363;587;354
267;409;363;587;353
268;408;364;590;352
269;406;364;588;352
270;406;364;587;353
271;410;364;587;353
272;409;364;585;354
273;405;365;595;353
274;407;364;589;354
275;408;365;590;355
276;409;364;590;354
277;409;364;591;353
278;412;365;590;352
279;413;365;590;353
280;413;365;591;353
281;409;365;592;353
282;409;364;593;352
283;410;364;592;352
284;413;364;591;353
285;412;364;592;353
286;411;363;590;352
287;409;363;588;353
288;404;364;588;355
289;404;364;585;354
290;403;364;584;354
291;403;364;585;354
292;406;363;583;354
293;401;364;583;354
294;405;364;583;354
295;414;364;582;354
296;414;364;584;354
297;404;365;581;355
298;404;365;580;355
299;404;365;581;355
300;403;364;581;355
301;408;365;579;354
302;400;365;580;354
303;401;365;580;355
304;401;365;580;355
305;401;365;580;354
306;401;365;580;355
307;404;365;579;354
308;400;365;579;355
309;402;365;579;355
310;406;366;579;355
311;402;367;580;355
312;400;368;581;355
313;404;367;581;357
314;398;367;582;357
315;400;367;582;358
316;399;367;582;357
317;400;367;582;357
318;401;367;580;357
319;402;366;580;357
