Frame;leftX;leftY;Area
1;331;455;283
2;357;456;196
3;323;456;301
4;342;433;256
5;347;433;252
6;348;433;252
7;347;433;244
8;347;433;0
9;347;433;0
10;349;427;81
11;349;427;240
12;349;427;247
13;355;434;245
14;341;436;272
15;353;435;279
16;353;435;329
17;353;435;300
18;365;429;277
19;337;427;281
20;335;426;285
21;334;431;286
22;334;427;277
23;312;439;286
24;315;437;278
25;337;437;281
26;315;436;248
27;337;435;299
28;339;423;294
29;338;448;271
30;340;428;280
31;340;422;281
32;340;424;290
33;340;424;286
34;340;424;0
35;340;424;0
36;340;424;0
37;340;424;173
38;335;433;258
39;348;429;278
40;339;453;275
41;338;453;249
42;351;432;283
43;353;431;256
44;355;456;275
45;351;457;265
46;352;424;237
47;354;457;258
48;354;456;270
49;331;454;246
50;330;454;249
51;359;456;204
52;346;456;244
53;342;456;200
54;350;456;207
55;348;435;249
56;313;456;246
57;328;455;241
58;314;455;247
59;330;456;244
60;329;456;242
61;329;433;246
62;346;435;251
63;346;435;258
64;336;432;232
65;335;455;261
66;343;434;220
67;343;434;0
68;343;434;0
69;337;433;111
70;337;433;195
71;337;433;247
72;335;461;254
73;360;434;243
74;334;454;258
75;342;454;267
76;341;431;273
77;340;430;237
78;329;453;263
79;326;454;276
80;349;455;211
81;332;454;265
82;332;454;265
83;332;454;203
84;330;432;251
85;320;454;251
86;331;431;250
87;321;453;250
88;329;432;261
89;346;433;252
90;330;431;255
91;321;454;256
92;321;454;260
93;330;431;255
94;320;453;253
95;347;453;206
96;318;454;253
97;319;454;255
98;329;430;259
99;330;453;262
100;331;430;228
101;331;430;227
102;350;431;249
103;326;453;256
104;329;453;248
105;340;431;253
106;332;433;291
107;312;442;256
108;334;440;244
109;336;437;245
110;337;430;245
111;338;438;206
112;341;425;252
113;341;440;211
114;371;434;199
115;346;433;248
116;348;432;235
117;349;433;251
118;350;425;255
119;354;425;246
120;356;429;254
121;357;426;246
122;357;424;254
123;359;423;242
124;361;420;243
125;361;429;244
126;386;420;246
127;386;420;246
128;360;424;243
129;360;424;245
130;384;420;260
131;362;422;240
132;361;427;240
133;364;411;243
134;362;425;248
135;361;422;250
136;361;421;245
137;361;421;253
138;368;424;0
139;368;424;0
140;368;424;0
141;357;428;143
142;357;428;203
143;355;450;236
144;377;448;210
145;377;448;215
146;373;447;207
147;373;447;214
148;372;447;211
149;345;447;257
150;344;447;250
151;367;447;196
152;354;447;186
153;350;446;237
154;347;447;233
155;346;447;181
156;344;447;181
157;345;447;184
158;341;447;183
159;339;446;187
160;341;425;233
161;341;446;192
162;340;426;236
