Frame;leftX;leftY;Area
1;425;263;243
2;422;264;253
3;422;264;255
4;422;264;263
5;422;264;299
6;422;264;302
7;422;264;0
8;422;264;0
9;422;264;0
10;422;264;0
11;422;264;0
12;422;264;0
13;422;264;0
14;422;264;0
15;422;264;0
16;422;264;0
17;422;264;0
18;422;264;0
19;422;264;0
20;422;264;0
21;422;264;0
22;422;264;0
23;422;264;0
24;422;264;0
25;422;264;0
26;422;264;0
27;422;264;0
28;422;264;0
29;422;264;0
30;422;264;0
31;422;264;0
32;422;264;0
33;422;264;0
34;422;264;0
35;422;264;0
36;422;264;0
37;422;264;0
38;422;264;0
39;422;264;0
40;422;264;0
41;422;264;0
42;422;264;0
43;422;264;0
44;422;264;0
45;422;264;0
46;422;264;0
47;422;264;0
48;422;264;0
49;422;264;0
50;422;264;0
51;422;264;0
52;422;264;0
53;422;264;0
54;422;264;0
55;422;264;0
56;422;264;0
57;422;264;0
58;422;264;0
59;422;264;0
60;422;264;0
61;422;264;0
62;422;264;0
63;422;264;0
64;422;264;0
65;422;264;0
66;422;264;0
67;422;264;0
68;422;264;0
69;422;264;0
70;422;264;0
71;422;264;0
72;422;264;0
73;422;264;0
74;386;257;212
75;374;233;189
76;389;255;227
77;389;255;223
78;368;236;205
79;388;256;162
80;387;257;165
81;387;242;225
82;371;242;205
83;370;257;157
84;370;258;218
85;370;258;217
86;375;242;0
87;370;242;181
88;385;257;160
89;386;256;224
90;387;257;166
91;387;256;166
92;372;257;152
93;389;257;209
94;388;257;150
95;374;257;0
96;374;257;202
97;390;233;215
98;387;253;248
99;389;251;254
100;386;253;206
101;388;252;243
102;387;252;234
103;387;252;230
104;387;252;227
105;409;253;221
106;410;253;222
107;410;253;221
108;411;253;223
109;411;253;211
110;411;253;0
111;411;253;0
112;411;253;0
113;411;253;0
114;411;253;12
115;373;248;69
116;373;248;149
117;410;257;220
118;411;256;234
119;373;240;183
120;366;257;189
121;366;257;191
122;366;257;190
123;387;257;191
124;387;257;191
125;372;241;176
126;372;241;176
127;384;256;240
128;380;259;235
129;363;261;168
130;360;262;167
131;360;262;238
132;354;262;158
133;350;261;0
134;363;260;205
135;349;260;206
136;364;260;211
137;350;261;0
138;366;258;212
139;354;258;0
140;368;257;203
141;370;257;216
142;359;257;203
143;372;260;152
144;371;258;197
145;370;258;210
146;368;244;0
147;368;257;196
148;366;255;197
149;351;254;0
150;364;254;192
151;366;254;193
152;366;254;198
153;362;242;0
154;357;241;127
155;358;241;129
156;363;242;0
157;366;257;192
158;361;241;124
159;363;256;182
160;362;255;181
161;364;255;184
162;365;255;183
163;365;241;122
164;364;242;122
165;365;241;122
166;364;254;182
167;376;254;181
168;364;254;184
169;365;241;127
170;364;241;131
171;364;256;0
172;364;241;132
173;364;241;131
174;365;254;178
175;369;242;0
176;377;242;136
177;377;241;0
178;377;241;167
179;377;241;161
180;363;247;101
181;363;247;0
182;363;247;0
183;363;247;0
184;368;227;0
185;368;227;0
186;368;227;0
187;368;227;0
188;368;227;0
189;368;227;0
190;384;240;0
191;384;225;0
192;384;225;0
193;378;241;0
194;378;241;0
195;378;241;0
196;378;241;0
197;378;241;0
198;378;241;0
199;378;254;0
200;378;254;164
201;380;255;163
202;380;254;161
203;380;255;163
204;379;255;164
205;379;255;166
206;380;255;165
207;368;255;164
208;379;255;164
209;378;254;162
210;366;254;156
211;376;253;151
212;375;254;157
213;374;254;161
214;374;254;174
215;370;251;198
216;362;258;124
217;362;254;202
218;362;239;181
219;366;237;188
220;365;237;175
221;365;246;181
222;361;249;188
223;357;250;188
224;351;250;182
225;349;250;173
226;349;249;168
227;351;248;139
228;352;234;181
229;357;242;0
230;357;242;137
231;357;242;133
232;357;242;0
233;357;242;0
234;357;242;0
235;357;242;0
236;357;242;0
237;357;242;0
238;357;242;0
239;357;242;0
240;344;207;0
241;344;207;0
242;344;207;219
243;344;212;218
244;344;212;231
245;345;210;231
246;345;210;227
247;345;210;238
248;338;191;185
249;338;191;0
250;355;213;237
251;354;212;239
252;355;212;235
253;355;213;235
254;355;213;232
255;355;213;227
256;334;213;235
257;334;213;236
258;334;213;231
259;340;212;244
260;340;212;249
261;336;226;202
262;358;228;247
263;358;228;242
264;358;228;241
265;358;228;233
266;358;228;237
267;345;212;233
268;345;212;231
269;345;212;229
270;345;212;233
271;345;212;231
272;345;212;234
273;345;212;791
274;345;212;0
275;345;212;0
276;345;212;0
277;335;214;0
278;335;214;0
279;335;214;0
280;335;214;0
281;335;214;96
282;335;214;0
283;335;214;0
284;335;214;0
285;335;214;0
286;335;214;0
287;335;214;0
288;335;214;0
289;335;214;0
290;335;214;0
291;335;214;0
292;335;214;0
293;335;214;0
294;351;194;0
295;351;194;119
296;342;198;160
297;342;198;188
298;363;205;0
299;339;206;195
300;340;206;195
301;342;206;185
302;344;208;211
303;344;208;194
304;344;208;187
305;344;208;175
306;357;211;177
307;360;232;197
308;360;232;204
309;365;206;150
310;366;227;165
311;366;206;148
312;364;228;237
313;382;229;247
314;382;229;267
315;366;226;262
316;366;226;243
317;366;226;234
318;366;226;0
319;366;226;0
320;366;226;0
321;366;226;0
322;366;226;105
323;352;244;246
324;365;243;292
325;357;241;290
326;364;241;7
327;372;241;0
328;378;242;0
329;386;224;204
330;386;224;153
331;386;224;184
332;394;248;181
333;393;249;176
334;399;246;228
335;398;243;220
336;397;244;211
337;401;245;221
338;402;247;229
339;402;247;214
340;412;248;219
341;391;249;229
342;398;249;233
343;395;248;223
344;392;247;0
345;390;247;163
346;385;247;170
347;388;248;172
348;386;248;167
349;387;246;0
350;379;247;0
351;382;246;0
352;378;246;0
353;376;247;0
354;372;248;172
355;372;248;169
356;372;249;172
357;387;249;184
358;371;249;170
359;372;250;171
360;372;249;173
361;376;249;177
362;389;247;221
363;388;247;226
364;374;251;183
365;390;247;228
366;370;248;177
367;376;250;181
368;371;228;175
369;379;247;178
370;379;247;180
371;381;249;181
372;381;249;180
373;379;248;177
374;394;247;226
375;378;247;0
376;373;229;168
377;373;229;164
378;375;229;139
379;394;250;189
380;379;247;0
381;378;249;172
382;378;250;175
383;379;249;173
384;378;229;167
385;379;249;173
386;378;228;166
387;373;248;162
388;372;230;153
389;373;230;152
390;378;229;155
391;381;248;159
392;381;248;157
393;381;228;149
394;372;229;143
395;368;230;139
396;366;230;139
397;369;249;144
398;380;248;206
399;364;251;146
400;361;249;198
401;373;249;152
402;362;247;206
403;352;229;142
404;352;229;138
405;372;247;170
406;351;230;146
407;357;248;155
408;352;229;149
409;350;229;147
410;359;247;204
411;371;248;164
412;353;248;152
413;350;228;142
414;357;248;153
415;364;247;148
416;361;247;161
417;364;245;0
418;368;245;0
419;381;245;209
420;368;248;164
421;368;247;165
422;370;245;166
423;367;247;166
424;382;245;214
425;382;227;187
426;383;240;216
427;382;238;218
428;382;240;216
429;361;238;180
430;382;240;208
431;383;240;173
432;383;240;200
433;384;226;194
434;385;239;205
435;363;239;151
436;384;237;187
437;384;226;142
438;384;226;141
439;411;241;141
440;411;241;177
441;411;241;175
442;411;241;137
443;411;241;132
444;411;241;87
445;411;241;0
446;411;241;0
447;411;241;0
448;411;241;0
449;371;241;71
450;383;231;144
451;362;230;136
452;361;229;136
453;361;230;140
454;360;230;140
455;366;230;147
456;359;248;0
457;367;247;0
458;369;232;148
459;379;247;196
460;367;231;133
461;367;248;0
462;365;246;174
463;364;246;170
464;374;245;162
465;374;245;0
466;374;245;0
467;374;245;0
468;374;245;0
469;374;245;0
470;374;245;0
471;374;245;0
472;374;245;0
473;374;245;0
474;374;245;0
475;374;245;0
476;374;245;0
477;374;245;0
478;374;245;0
479;374;245;0
480;374;245;0
481;374;245;0
482;374;245;0
483;374;245;0
484;374;245;0
485;374;245;0
486;374;245;0
487;374;245;0
488;374;245;0
489;374;245;0
490;374;245;0
491;374;245;0
492;374;245;0
493;374;245;0
494;374;245;0
495;374;245;0
496;374;245;0
497;374;245;0
498;374;245;0
499;374;245;0
500;374;245;0
501;374;245;0
502;374;245;0
503;374;245;0
504;374;245;0
505;374;245;0
506;374;245;0
507;374;245;0
508;374;245;0
509;374;245;0
510;374;245;0
511;374;245;0
512;374;245;0
513;374;245;0
514;374;245;0
515;374;245;0
516;374;245;0
517;374;245;0
518;374;245;0
519;374;245;0
520;408;248;28
521;407;249;58
522;406;252;64
523;406;252;66
524;407;252;67
525;370;217;0
